origin_airport,destination_airport,distance_km,is_less_than_200_km
MCG,LCJ,1481.1032044936396,False
MCG,PAD,1528.6251699433024,False
MCG,OST,1602.192806174381,False
MCG,DRS,1569.9597521875953,False
MCG,YBH,1352.1457331351965,False
MCG,YQN,1477.5802405655995,False
MCG,BTS,1851.2384006631207,False
MCG,FDH,1920.778304136887,False
MCG,BSL,1938.2342989611213,False
MCG,BGY,2127.244989313923,False
MCG,YSC,2028.1286157452762,False
MCG,PSA,2349.2824806050894,False
MCG,BIQ,2393.5827962498806,False
MCG,INI,2355.6597355891404,False
MCG,SCQ,2423.527931012023,False
MCG,VLL,2565.2069691961256,False
MCG,FSC,2568.1790362417914,False
MCG,KRW,2641.306031549932,False
MCG,TPS,2954.4656520155627,False
MCG,PDL,2939.9104022480224,False
MCG,RHO,3076.2900381330846,False
MCG,CHQ,3183.756298754445,False
MCG,AGO,3331.76827514985,False
MCG,BQK,3566.8796474527244,False
MCG,SOK,3790.7064769449644,False
MCG,CLC,3738.3484046295957,False
MCG,SPC,3942.26547156759,False
MCG,UDR,4305.03300194477,False
MCG,SNJ,4573.321705054325,False
MCG,BBR,5266.465630343329,False
MCG,AHE,5388.560351577831,False
MCG,HUU,5926.526436906168,False
MCG,JIM,6211.450298721351,False
MCG,AIH,6172.765950898557,False
MCG,KSB,6278.253841057604,False
MCG,TYL,6509.8186661714435,False
MCG,NDE,6618.476684251796,False
TLL,LLA,683.6767256776013,False
TLL,PVS,950.5357568241333,False
TLL,MCG,807.6606695516355,False
TLL,VBY,196.28740808003832,True
TLL,AAL,267.4552817812439,False
TLL,MMX,438.8636539384516,False
TLL,BFS,540.3827834997917,False
TLL,BLK,643.1642515374859,False
TLL,MAN,690.6467850726644,False
TLL,IEG,834.5808872389646,False
TLL,LCJ,856.4159774011241,False
TLL,PAD,872.3786846638006,False
TLL,OST,926.2470374197179,False
TLL,DRS,924.7839903313327,False
TLL,YBH,1157.491884529849,False
TLL,YQN,1100.059634680435,False
TLL,BTS,1252.302114148692,False
TLL,FDH,1309.684048260746,False
TLL,BSL,1319.7389161258088,False
TLL,BGY,1531.4884512061317,False
TLL,YSC,1586.3865375875134,False
TLL,PSA,1754.0381550155964,False
TLL,BIQ,1782.2509582912141,False
TLL,INI,1789.2354043959956,False
TLL,SCQ,1839.941593524557,False
TLL,VLL,1974.6228342465056,False
TLL,FSC,1994.4788579533613,False
TLL,KRW,2162.2557788211793,False
TLL,TPS,2392.987183454901,False
TLL,PDL,2409.294047685981,False
TLL,RHO,2558.522956161791,False
TLL,CHQ,2655.139793958937,False
TLL,AGO,2949.2180440159455,False
TLL,BQK,3156.222778243358,False
TLL,SOK,3287.415112986242,False
TLL,CLC,3361.1062331339913,False
TLL,SPC,3421.0761411241424,False
TLL,UDR,3883.7429261850452,False
TLL,SNJ,4172.3030766988595,False
TLL,BBR,4825.69238142246,False
TLL,AHE,5094.318656313255,False
TLL,HUU,5515.4095521603895,False
TLL,JIM,5743.391661158977,False
TLL,AIH,5857.195319357114,False
TLL,KSB,5977.151186975665,False
TLL,TYL,6101.846667807927,False
TLL,NDE,6155.127793434084,False
VBY,LLA,878.3185627120531,False
VBY,PVS,1105.5561453066834,False
VBY,MCG,949.5554470153346,False
VBY,TLL,196.28740808003832,True
VBY,AAL,79.00592361127312,True
VBY,MMX,243.15833388487084,False
VBY,BFS,345.3249238833196,False
VBY,BLK,448.7082777874465,False
VBY,MAN,496.1259086969207,False
VBY,IEG,638.5781146039382,False
VBY,LCJ,661.4454767371591,False
VBY,PAD,676.1069849914071,False
VBY,OST,730.3867902790696,False
VBY,DRS,728.6080403827496,False
VBY,YBH,1032.1583941475835,False
VBY,YQN,937.4188537435243,False
VBY,BTS,1056.8616621535887,False
VBY,FDH,1113.6794129576022,False
VBY,BSL,1123.5616750614397,False
VBY,BGY,1335.5833594514816,False
VBY,YSC,1403.2410200780123,False
VBY,PSA,1557.9217580791706,False
VBY,BIQ,1585.9641582334937,False
VBY,INI,1593.9623833259704,False
VBY,SCQ,1644.0127382276178,False
VBY,VLL,1778.456253831896,False
VBY,FSC,1798.670819064597,False
VBY,KRW,1971.6170117506297,False
VBY,TPS,2197.1911491796664,False
VBY,PDL,2214.659134890415,False
VBY,RHO,2364.3230141862323,False
VBY,CHQ,2460.2938004281505,False
VBY,AGO,2765.050488623463,False
VBY,BQK,2968.723571111292,False
VBY,SOK,3093.117441172001,False
VBY,CLC,3176.318208348687,False
VBY,SPC,3225.9082583384,False
VBY,UDR,3694.031010721096,False
VBY,SNJ,3983.8363099061116,False
VBY,BBR,4633.639343876168,False
VBY,AHE,4914.858979764526,False
VBY,HUU,5324.829694407442,False
VBY,JIM,5549.328545579232,False
VBY,AIH,5674.477978367948,False
VBY,KSB,5795.763052666166,False
VBY,TYL,5911.087761242253,False
VBY,NDE,5961.125992049329,False
AAL,LLA,942.6767104488906,False
AAL,PVS,1184.357724229353,False
AAL,MCG,1027.6401122468476,False
AAL,TLL,267.4552817812439,False
AAL,VBY,79.00592361127312,True
AAL,MMX,174.3141526403956,True
AAL,BFS,273.8917364050758,False
AAL,BLK,376.00189724719905,False
AAL,MAN,423.4765738863634,False
AAL,IEG,574.6778728103753,False
AAL,LCJ,601.0750129142657,False
AAL,PAD,609.8851284089254,False
AAL,OST,660.3523056886503,False
AAL,DRS,663.3576472764377,False
AAL,YBH,1027.8724702023947,False
AAL,YQN,910.2357849694572,False
AAL,BTS,994.1523689787948,False
AAL,FDH,1048.8522850784548,False
AAL,BSL,1057.7248024804596,False
AAL,BGY,1270.9934188034192,False
AAL,YSC,1356.9320841600056,False
AAL,PSA,1492.1885591877192,False
AAL,BIQ,1518.4178021001803,False
AAL,INI,1531.1835606528612,False
AAL,SCQ,1579.1349035205085,False
AAL,VLL,1712.317894069687,False
AAL,FSC,1734.1810806485778,False
AAL,KRW,1916.3204082468308,False
AAL,TPS,2132.6001176300024,False
AAL,PDL,2153.024117676882,False
AAL,RHO,2303.4777016975277,False
AAL,CHQ,2398.129086282119,False
AAL,AGO,2716.2500264315245,False
AAL,BQK,2916.4899785116145,False
AAL,SOK,3031.88130300515,False
AAL,CLC,3126.7249021558396,False
AAL,SPC,3162.843232309802,False
AAL,UDR,3639.1146790463254,False
AAL,SNJ,3930.246194912824,False
AAL,BBR,4575.6307443664455,False
AAL,AHE,4869.4541630670465,False
AAL,HUU,5268.601227864819,False
AAL,JIM,5488.186317646061,False
AAL,AIH,5626.137457610397,False
AAL,KSB,5748.557872251898,False
AAL,TYL,5854.574744397498,False
AAL,NDE,5900.05594814808,False
MMX,LLA,1116.9593871584989,False
MMX,PVS,1323.9586232616891,False
MMX,MCG,1159.9747511561782,False
MMX,TLL,438.8636539384516,False
MMX,VBY,243.15833388487084,False
MMX,AAL,174.3141526403956,True
MMX,BFS,102.71662215512401,True
MMX,BLK,206.51046513081064,False
MMX,MAN,253.68628259477478,False
MMX,IEG,400.7155720406415,False
MMX,LCJ,428.7476478967129,False
MMX,PAD,435.57265599440024,False
MMX,OST,487.38409528074453,False
MMX,DRS,489.07689688826497,False
MMX,YBH,935.5707920751353,False
MMX,YQN,777.9679571907852,False
MMX,BTS,820.2518007458933,False
MMX,FDH,874.5603596061604,False
